date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:42	182/182	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Jan%202017%2000:55:41%20GMT	http://www.cdf.toronto.edu/robots.txt		(from )
19:55:42	3293/3293	---M-Z	200	added ('OK')	text/html	etag:%221068222-cdd-52f4b1c92f900%22	http://www.cdf.toronto.edu/~ajr/209/	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/index.html	(from )
19:55:42	3293/3293	---M-Z	200	added ('OK')	text/html	etag:%221068222-cdd-52f4b1c92f900%22	http://www.cdf.toronto.edu/~ajr/209/.	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:42	3144/3144	---M-Z	200	added ('OK')	text/html	etag:%2210680b8-c48-531d3963d1800%22	http://www.cdf.toronto.edu/~ajr/209/announce.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/announce.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:42	4669/4669	---M-Z	200	added ('OK')	text/html	etag:%22106824c-123d-53117735c7040%22	http://www.cdf.toronto.edu/~ajr/209/asmt.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/asmt.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:43	8010/8010	---M-Z	200	added ('OK')	text/html	etag:%22106e071-1f4a-52f4b20a09200%22	http://www.cdf.toronto.edu/~ajr/209/exam/info.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/exam/info.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:43	2166/2166	---M-Z	200	added ('OK')	text/html	etag:%22106825a-876-52ecc7ca5ccc0%22	http://www.cdf.toronto.edu/~ajr/209/netgrade-results.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/netgrade-results.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:43	4680/4680	---M-Z	200	added ('OK')	text/html	etag:%22106825d-1248-52ecc7ca5ccc0%22	http://www.cdf.toronto.edu/~ajr/209/oldannounce.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/oldannounce.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:43	235/235	---M--	200	added ('OK')	image/gif	etag:%221068219-eb-4545dcd2fdb80%22	http://www.cdf.toronto.edu/~ajr/209/email.gif	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/email.gif	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:43	3400/3400	---M-Z	200	added ('OK')	text/html	etag:%22106822d-d48-52f98322e8fc0%22	http://www.cdf.toronto.edu/~ajr/209/endofficehour.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/endofficehour.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:44	7834/7834	---M-Z	200	added ('OK')	text/html	etag:%221068253-1e9a-52ecc7c968a80%22	http://www.cdf.toronto.edu/~ajr/209/courseinfo.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/courseinfo.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:44	14277/14277	---M--	200	added ('OK')	application/pdf	etag:%2210680d0-37c5-5285e9a574240%22	http://www.cdf.toronto.edu/~ajr/209/courseinfo.pdf	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/courseinfo.pdf	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:44	4712/4712	---M-Z	200	added ('OK')	text/html	etag:%22106825e-1268-52ecc7ca5ccc0%22	http://www.cdf.toronto.edu/~ajr/209/prereq.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/prereq.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:44	2821/2821	---M-Z	200	added ('OK')	text/html	etag:%221068255-b05-52ecc7ca5ccc0%22	http://www.cdf.toronto.edu/~ajr/209/emailpolicy.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/emailpolicy.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:45	8376/8376	---M-Z	200	added ('OK')	text/html	etag:%2210680cd-20b8-530cb173e3380%22	http://www.cdf.toronto.edu/~ajr/209/textbooks.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/textbooks.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:45	6474/6474	---M-Z	200	added ('OK')	text/html	etag:%22106825f-194a-52ecc7ca5ccc0%22	http://www.cdf.toronto.edu/~ajr/209/remotelogin.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/remotelogin.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:45	3837/3837	---M-Z	200	added ('OK')	text/html	etag:%221068254-efd-52ecc7ca5ccc0%22	http://www.cdf.toronto.edu/~ajr/209/editing.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/editing.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:45	1013/1013	---M--	200	added ('OK')	image/gif	etag:%221068225-3f5-3394ca7a46ac0%22	http://www.cdf.toronto.edu/~ajr/209/new.gif	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/new.gif	(from http://www.cdf.toronto.edu/~ajr/209/announce.html)
19:55:45	5015/5015	---M-Z	200	added ('OK')	text/html	etag:%22106e090-1397-536226f8f3f00%22	http://www.cdf.toronto.edu/~ajr/209/lect/	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/index.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:45	3896/3896	---M-Z	200	added ('OK')	text/html	etag:%221068391-f38-52ed5b03924c0%22	http://www.cdf.toronto.edu/~ajr/209/tut/	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/index.html	(from http://www.cdf.toronto.edu/~ajr/209/)
19:55:46	254/254	---M-Z	200	added ('OK')	text/html	etag:%221068240-fe-52f6eb0f04e40%22	http://www.cdf.toronto.edu/~ajr/209/aprilfools.html	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/aprilfools.html	(from http://www.cdf.toronto.edu/~ajr/209/announce.html)
